순위,기업명,현재가
1,삼성전자,"66,800"
2,LG에너지솔루션,"539,000"
3,SK하이닉스,"117,700"
4,삼성바이오로직스,"780,000"
5,POSCO홀딩스,"568,000"
6,삼성전자우,"55,000"
7,LG화학,"599,000"
8,삼성SDI,"613,000"
9,현대차,"187,700"
10,NAVER,"222,000"
11,포스코퓨처엠,"428,000"
12,기아,"78,200"
13,카카오,"50,600"
14,현대모비스,"231,000"
15,셀트리온,"147,700"
16,KB금융,"50,900"
17,삼성물산,"103,500"
18,신한지주,"34,500"
19,SK이노베이션,"185,300"
20,LG전자,"99,700"
21,포스코인터내셔널,"87,500"
22,삼성생명,"68,500"
23,LG,"81,100"
24,카카오뱅크,"26,750"
25,한국전력,"18,440"
26,KT&G,"85,300"
27,삼성화재,"246,500"
28,HD현대중공업,"127,200"
29,하나금융지주,"37,850"
30,삼성전기,"146,100"
31,SK,"147,100"
32,두산에너빌리티,"16,420"
33,삼성에스디에스,"134,900"
34,하이브,"250,000"
35,SK텔레콤,"47,400"
36,메리츠금융지주,"49,700"
37,고려아연,"479,500"
38,한화오션,"42,050"
39,대한항공,"24,250"
40,KT,"32,400"
41,S-Oil,"73,900"
42,기업은행,"10,360"
43,우리금융지주,"11,330"
44,HMM,"16,750"
45,HD한국조선해양,"115,300"
46,크래프톤,"159,400"
47,삼성중공업,"8,760"
48,SK바이오팜,"93,700"
49,아모레퍼시픽,"125,300"
50,금양,"126,000"
